model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,1.2997561693191528,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.08608382940292358, -0.3915978968143463, 0.2708979547023773, -0.0393974706530571, 0.16782532632350922, 0.7808006405830383, -0.03786472976207733]",80,19,0.2375
Strategic (f*_s),1.0,1.1638762950897217,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.09351717680692673, -0.5987290143966675, 0.1152913048863411, 0.07533778995275497, 0.21262338757514954, 0.7084629535675049, 0.007013947237282991]",17,10,0.5882352941176471
Strat-Imp-Aware (f*_imp),1.0,1.185259461402893,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.06879397481679916, -0.47300878167152405, 0.3016638457775116, 0.08188687264919281, -0.0027672925498336554, 0.8727911710739136, -0.042049892246723175]",69,13,0.18840579710144928
Optimal Linear classifier (f*),1.0,1.437283992767334,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.5]","[-0.06996352225542068, -0.2966938316822052, 0.168376162648201, 0.027977101504802704, 0.16304916143417358, 0.7399395108222961, 0.022892529144883156, -0.055570781230926514]",39,9,0.23076923076923078
Strategic (f*_s),1.0,1.2957357168197632,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.5]","[-0.18835318088531494, -0.47464272379875183, 0.36130011081695557, 0.11846917122602463, 0.11527511477470398, 0.8558283448219299, 0.0471806600689888, -0.11446887254714966]",73,25,0.3424657534246575
Strat-Imp-Aware (f*_imp),1.0,1.3169585466384888,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.5]","[-0.2956703007221222, -0.4898110628128052, 0.08519736677408218, 0.25137102603912354, 0.14499813318252563, 0.8336194157600403, -0.007915348745882511, 0.029328834265470505]",22,6,0.2727272727272727
Optimal Linear classifier (f*),1.0,1.437283992767334,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.5]","[-0.06996352225542068, -0.2966938316822052, 0.168376162648201, 0.027977101504802704, 0.16304916143417358, 0.7399395108222961, 0.022892529144883156, -0.055570781230926514]",39,14,0.358974358974359
Strategic (f*_s),1.0,1.2957357168197632,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.5]","[-0.18835318088531494, -0.47464272379875183, 0.36130011081695557, 0.11846917122602463, 0.11527511477470398, 0.8558283448219299, 0.0471806600689888, -0.11446887254714966]",73,21,0.2876712328767123
Strat-Imp-Aware (f*_imp),1.0,1.1003084182739258,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.5]","[-0.18238061666488647, -0.5625873804092407, 0.17505870759487152, 0.11516228318214417, 0.09729428589344025, 0.8198441863059998, -0.0020729736424982548, -0.041458915919065475]",33,7,0.21212121212121213
Optimal Linear classifier (f*),1.0,1.437283992767334,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.20000000298023224]","[-0.06996352225542068, -0.2966938316822052, 0.168376162648201, 0.027977101504802704, 0.16304916143417358, 0.7399395108222961, 0.022892529144883156, -0.055570781230926514]",39,14,0.358974358974359
Strategic (f*_s),1.0,1.3729324340820312,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.20000000298023224]","[-0.13900607824325562, -0.43523675203323364, 0.6704735159873962, 0.23704972863197327, 0.01082120556384325, 0.9477449059486389, 0.024581026285886765, -0.11217077821493149]",308,70,0.22727272727272727
Strat-Imp-Aware (f*_imp),1.0,1.1363351345062256,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.20000000298023224]","[-0.15349766612052917, -0.5561667084693909, 0.2825237214565277, 0.21889567375183105, 0.08600838482379913, 0.8390209674835205, 0.11616474390029907, -0.18210233747959137]",82,19,0.23170731707317074
Optimal Linear classifier (f*),1.0,1.437283992767334,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.699999988079071]","[-0.06996352225542068, -0.2966938316822052, 0.168376162648201, 0.027977101504802704, 0.16304916143417358, 0.7399395108222961, 0.022892529144883156, -0.055570781230926514]",39,14,0.358974358974359
Strategic (f*_s),1.0,1.295504093170166,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.699999988079071]","[-0.18937864899635315, -0.45769816637039185, 0.3327920734882355, 0.11884445697069168, 0.07913573086261749, 0.8550339341163635, 0.01127643883228302, -0.06750381737947464]",62,15,0.24193548387096775
Strat-Imp-Aware (f*_imp),1.0,1.136934757232666,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.699999988079071]","[-0.21104034781455994, -0.602012574672699, 0.24136820435523987, 0.16689598560333252, 0.15574316680431366, 0.7918511033058167, 0.044313300400972366, -0.11459092050790787]",55,9,0.16363636363636364
Optimal Linear classifier (f*),1.0,0.8404277563095093,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.699999988079071]","[0.09963343292474747, 0.7148050665855408, 0.42368870973587036, 0.2188284993171692, -0.086536705493927, 0.514894425868988, -0.18267153203487396, 0.19567658007144928]",1475,252,0.17084745762711864
Strategic (f*_s),1.0,-0.34066101908683777,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.699999988079071]","[0.1402592808008194, 0.758033812046051, 0.18733924627304077, 0.2381286472082138, -0.08578650653362274, 0.5298736095428467, 0.08925746381282806, 0.19687913358211517]",2021,142,0.070262246412667
Strat-Imp-Aware (f*_imp),1.0,1.5770525932312012,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5, 0.699999988079071]","[-0.34579238295555115, -0.477177232503891, 0.35030779242515564, 0.21332956850528717, 0.10933376848697662, 1.0919578075408936, 0.2413366287946701, -0.030100738629698753]",116,25,0.21551724137931033
