model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strat-Imp-Aware (f*_imp),1.0,-4.802106857299805,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5897853374481201, 1.3607962131500244, 0.95539790391922]",28386,7799,0.2747481152680899
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",30521,11590,0.379738540676911
Strategic (f*_s),1.0,-4.424933433532715,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5577225685119629, 1.226948618888855, 0.8657072186470032]",26807,6949,0.2592233371880479
Strat-Imp-Aware (f*_imp),1.0,-4.706955432891846,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5025143623352051, 1.450556755065918, 1.0133026838302612]",33134,10534,0.31792116858815717
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.800000011920929, 0.5]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",21743,8696,0.39994480982385133
Strategic (f*_s),1.0,-2.214055299758911,"[1.0, 0.800000011920929, 0.5]","[0.5588634014129639, 1.167587161064148, 0.8227602243423462]",19662,4695,0.23878547451937748
Strat-Imp-Aware (f*_imp),1.0,-1.8854308128356934,"[1.0, 0.800000011920929, 0.5]","[0.5748167634010315, 1.3037805557250977, 0.8989824056625366]",24563,7763,0.31604445711028784
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.800000011920929, 0.800000011920929]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",19294,6905,0.3578832797760962
Strategic (f*_s),1.0,-1.9828282594680786,"[1.0, 0.800000011920929, 0.800000011920929]","[0.5496917366981506, 1.1938233375549316, 0.8671202659606934]",19417,4862,0.2503991347788021
Strat-Imp-Aware (f*_imp),1.0,-1.7851344347000122,"[1.0, 0.800000011920929, 0.800000011920929]","[0.564609169960022, 1.3058810234069824, 0.9113754630088806]",22872,6860,0.2999300454704442
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[1.0, 0.800000011920929, 0.800000011920929]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",16325,4943,0.3027871362940276
