model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strategic (f*_s),0.01,1.4815359115600586,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.20371483266353607, -0.48436781764030457, 0.19610713422298431, 0.012454929761588573, 0.16075874865055084, 1.016892910003662]",1,0,0.0
Strat-Imp-Aware (f*_imp),0.01,1.4722638130187988,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.007019884418696165, -0.39322999119758606, 0.21530291438102722, -0.09233196079730988, 0.1891138106584549, 0.9564733505249023]",1,0,0.0
Optimal Linear classifier (f*),0.01,1.452351689338684,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 1.0, 1.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",3,0,0.0
Strategic (f*_s),0.01,1.4389055967330933,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 1.0, 1.0]","[-0.2198239266872406, -0.4516090452671051, 0.20495747029781342, 0.043618496507406235, 0.15425626933574677, 1.0347747802734375]",1,0,0.0
Strat-Imp-Aware (f*_imp),0.01,1.4505013227462769,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 1.0, 1.0]","[-0.036417003720998764, -0.3851565420627594, 0.20591571927070618, -0.09243585914373398, 0.22577184438705444, 0.9308751821517944]",0,0,0
Optimal Linear classifier (f*),1,1.452351689338684,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 1.0, 1.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",155,40,0.25806451612903225
Strategic (f*_s),1,-0.007029133383184671,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 1.0, 1.0]","[-0.08117788285017014, -0.7406313419342041, 0.22471565008163452, 0.05261789634823799, 0.06217813491821289, 1.4038501977920532]",2832,410,0.14477401129943504
Strat-Imp-Aware (f*_imp),1,0.39078208804130554,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 1.0, 1.0]","[-0.3247995376586914, -0.6083353161811829, -0.10478238016366959, -0.017982183024287224, 0.4305688142776489, 0.8927054405212402]",537,127,0.23649906890130354
Optimal Linear classifier (f*),0.5,1.452351689338684,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.800000011920929, 0.699999988079071]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",142,36,0.2535211267605634
Strategic (f*_s),0.5,0.6791390180587769,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.800000011920929, 0.699999988079071]","[-0.09780789166688919, -0.5385648608207703, 0.25739651918411255, 0.06148494407534599, 0.11775898933410645, 1.1445292234420776]",822,204,0.24817518248175183
Strat-Imp-Aware (f*_imp),0.5,0.7058473229408264,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.800000011920929, 0.699999988079071]","[0.015982432290911674, -0.5638117790222168, 0.13831403851509094, -0.07214614003896713, 0.14536218345165253, 1.0220803022384644]",599,165,0.27545909849749584
Optimal Linear classifier (f*),0.5,1.452351689338684,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",142,36,0.2535211267605634
Strategic (f*_s),0.5,0.829479992389679,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.14442117512226105, -0.4306619465351105, 0.2176501750946045, 0.04013177007436752, 0.09969182312488556, 1.0079234838485718]",489,155,0.3169734151329243
Strat-Imp-Aware (f*_imp),0.5,0.8910773992538452,"[0.10000000149011612, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.09997313469648361, -0.3161951005458832, 0.03780674561858177, -0.06979212164878845, 0.19102151691913605, 0.5628913044929504]",71,19,0.2676056338028169
Optimal Linear classifier (f*),0.5,1.452351689338684,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",142,36,0.2535211267605634
Strategic (f*_s),0.5,0.829479992389679,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.14442117512226105, -0.4306619465351105, 0.2176501750946045, 0.04013177007436752, 0.09969182312488556, 1.0079234838485718]",489,155,0.3169734151329243
Strat-Imp-Aware (f*_imp),0.5,0.7747145891189575,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.034510593861341476, -0.39926818013191223, -0.17968614399433136, -0.0012955920537933707, 0.180064857006073, 0.8980487585067749]",445,97,0.21797752808988763
Optimal Linear classifier (f*),0.8,1.452351689338684,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",158,40,0.25316455696202533
Strategic (f*_s),0.8,0.31411445140838623,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[-0.12501849234104156, -0.41752389073371887, 0.1282389909029007, 0.11237964779138565, 0.15708395838737488, 1.1975904703140259]",1941,370,0.190623390005152
Strat-Imp-Aware (f*_imp),0.8,0.45890191197395325,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.04351053014397621, -0.20627811551094055, 0.3006725311279297, -0.08155915141105652, -0.006625654175877571, 0.33369797468185425]",635,177,0.27874015748031494
Optimal Linear classifier (f*),0.8,0.7755140066146851,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",1781,411,0.23076923076923078
Strategic (f*_s),0.8,-1.1836090087890625,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.18645188212394714, -0.6101226210594177, 0.2575269937515259, 0.03377178683876991, -0.4533095061779022, 2.0060830116271973]",4068,239,0.058751229105211404
Strat-Imp-Aware (f*_imp),0.8,0.39134180545806885,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.009467605501413345, -0.4932957589626312, 0.19306768476963043, 0.06721181422472, -0.103202223777771, 0.7178456783294678]",580,168,0.2896551724137931
Optimal Linear classifier (f*),1,0.7755140066146851,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",1860,455,0.2446236559139785
Strategic (f*_s),1,-1.7581672668457031,"[0.5, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.800000011920929, 0.699999988079071]","[0.20937561988830566, -0.6407124400138855, 0.3012034296989441, 0.0137849822640419, -0.43182671070098877, 2.028608560562134]",4570,241,0.052735229759299784
